,filename,class
37,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/5_100.jpg,1
38,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/60_100.jpg,1
39,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/61_100.jpg,1
40,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/62_100.jpg,1
41,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/63_100.jpg,1
42,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/64_100.jpg,1
43,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/65_100.jpg,1
44,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/66_100.jpg,1
45,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/67_100.jpg,1
46,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/68_100.jpg,1
47,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/69_100.jpg,1
48,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/6_100.jpg,1
49,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/70_100.jpg,1
50,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/71_100.jpg,1
51,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/72_100.jpg,1
52,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/73_100.jpg,1
53,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/74_100.jpg,1
54,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/75_100.jpg,1
55,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/76_100.jpg,1
56,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/77_100.jpg,1
57,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/78_100.jpg,1
58,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/79_100.jpg,1
59,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/7_100.jpg,1
60,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/80_100.jpg,1
61,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/81_100.jpg,1
62,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/82_100.jpg,1
63,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/83_100.jpg,1
64,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/84_100.jpg,1
65,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/85_100.jpg,1
66,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/86_100.jpg,1
67,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/87_100.jpg,1
68,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/88_100.jpg,1
69,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/89_100.jpg,1
70,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/8_100.jpg,1
71,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/90_100.jpg,1
72,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/91_100.jpg,1
73,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/92_100.jpg,1
74,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/93_100.jpg,1
75,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/94_100.jpg,1
76,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/95_100.jpg,1
77,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/96_100.jpg,1
78,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/97_100.jpg,1
79,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/98_100.jpg,1
80,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/99_100.jpg,1
81,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/9_100.jpg,1
82,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_321_100.jpg,1
83,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_322_100.jpg,1
84,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_323_100.jpg,1
85,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_324_100.jpg,1
86,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_325_100.jpg,1
87,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_326_100.jpg,1
88,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_327_100.jpg,1
89,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_32_100.jpg,1
90,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_33_100.jpg,1
91,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_34_100.jpg,1
92,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_35_100.jpg,1
93,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_36_100.jpg,1
94,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_37_100.jpg,1
95,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_38_100.jpg,1
96,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_39_100.jpg,1
97,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_3_100.jpg,1
98,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_40_100.jpg,1
99,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_41_100.jpg,1
100,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_42_100.jpg,1
101,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_43_100.jpg,1
102,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_44_100.jpg,1
103,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_45_100.jpg,1
104,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_46_100.jpg,1
105,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_47_100.jpg,1
106,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_48_100.jpg,1
107,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_49_100.jpg,1
108,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_4_100.jpg,1
109,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_50_100.jpg,1
110,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_51_100.jpg,1
111,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_52_100.jpg,1
112,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_53_100.jpg,1
113,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_54_100.jpg,1
114,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_55_100.jpg,1
115,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_56_100.jpg,1
116,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_57_100.jpg,1
117,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_58_100.jpg,1
118,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_59_100.jpg,1
119,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_5_100.jpg,1
120,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_60_100.jpg,1
121,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_61_100.jpg,1
122,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_62_100.jpg,1
123,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_63_100.jpg,1
124,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_64_100.jpg,1
125,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_65_100.jpg,1
126,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_66_100.jpg,1
127,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_67_100.jpg,1
128,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_68_100.jpg,1
129,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_69_100.jpg,1
130,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_6_100.jpg,1
131,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_70_100.jpg,1
132,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_71_100.jpg,1
133,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_72_100.jpg,1
134,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_73_100.jpg,1
135,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_74_100.jpg,1
136,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_75_100.jpg,1
137,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_76_100.jpg,1
138,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_77_100.jpg,1
139,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_78_100.jpg,1
140,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_79_100.jpg,1
141,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_7_100.jpg,1
142,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_80_100.jpg,1
143,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_81_100.jpg,1
144,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_82_100.jpg,1
145,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_83_100.jpg,1
146,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_84_100.jpg,1
147,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_85_100.jpg,1
148,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_86_100.jpg,1
149,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_87_100.jpg,1
150,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_88_100.jpg,1
151,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_89_100.jpg,1
152,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_8_100.jpg,1
153,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_90_100.jpg,1
154,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_91_100.jpg,1
155,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_92_100.jpg,1
156,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_93_100.jpg,1
157,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_94_100.jpg,1
158,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_95_100.jpg,1
159,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_96_100.jpg,1
160,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_97_100.jpg,1
161,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_98_100.jpg,1
162,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_99_100.jpg,1
163,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/r_9_100.jpg,1
164,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/100_100.jpg,2
165,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/101_100.jpg,2
166,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/102_100.jpg,2
167,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/103_100.jpg,2
168,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/104_100.jpg,2
169,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/105_100.jpg,2
170,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/106_100.jpg,2
171,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/107_100.jpg,2
172,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/108_100.jpg,2
173,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/109_100.jpg,2
174,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/110_100.jpg,2
175,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/112_100.jpg,2
176,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/113_100.jpg,2
177,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/114_100.jpg,2
178,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/115_100.jpg,2
179,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/116_100.jpg,2
180,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/117_100.jpg,2
181,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/118_100.jpg,2
182,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/119_100.jpg,2
183,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/120_100.jpg,2
184,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/121_100.jpg,2
185,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/122_100.jpg,2
186,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/123_100.jpg,2
187,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/124_100.jpg,2
188,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/125_100.jpg,2
189,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/126_100.jpg,2
190,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/127_100.jpg,2
191,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/128_100.jpg,2
192,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/129_100.jpg,2
193,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/130_100.jpg,2
194,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/131_100.jpg,2
195,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/132_100.jpg,2
196,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/133_100.jpg,2
197,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/134_100.jpg,2
198,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/135_100.jpg,2
199,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/136_100.jpg,2
200,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/137_100.jpg,2
201,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/138_100.jpg,2
202,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/139_100.jpg,2
203,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/140_100.jpg,2
204,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/141_100.jpg,2
205,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/142_100.jpg,2
206,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/143_100.jpg,2
207,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/144_100.jpg,2
208,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/145_100.jpg,2
209,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/146_100.jpg,2
210,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/147_100.jpg,2
211,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/148_100.jpg,2
212,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/149_100.jpg,2
213,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/150_100.jpg,2
214,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/151_100.jpg,2
215,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/152_100.jpg,2
216,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/153_100.jpg,2
217,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/154_100.jpg,2
218,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/155_100.jpg,2
219,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/80_100.jpg,2
220,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/81_100.jpg,2
221,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/83_100.jpg,2
222,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/84_100.jpg,2
223,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/85_100.jpg,2
224,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/86_100.jpg,2
225,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/87_100.jpg,2
226,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/88_100.jpg,2
227,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/89_100.jpg,2
228,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/90_100.jpg,2
229,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/91_100.jpg,2
230,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/92_100.jpg,2
231,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/93_100.jpg,2
232,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/94_100.jpg,2
233,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/95_100.jpg,2
234,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/96_100.jpg,2
235,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/97_100.jpg,2
236,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/98_100.jpg,2
237,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/99_100.jpg,2
238,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_105_100.jpg,2
239,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_106_100.jpg,2
240,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_111_100.jpg,2
241,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_112_100.jpg,2
242,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_113_100.jpg,2
243,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_114_100.jpg,2
244,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_115_100.jpg,2
245,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_116_100.jpg,2
246,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_117_100.jpg,2
247,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_118_100.jpg,2
248,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_120_100.jpg,2
249,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_121_100.jpg,2
250,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_122_100.jpg,2
251,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_123_100.jpg,2
252,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_124_100.jpg,2
253,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_13_100.jpg,2
254,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_14_100.jpg,2
255,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_15_100.jpg,2
256,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_16_100.jpg,2
257,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_17_100.jpg,2
258,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_183_100.jpg,2
259,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_184_100.jpg,2
260,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_18_100.jpg,2
261,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_19_100.jpg,2
262,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_20_100.jpg,2
263,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_21_100.jpg,2
264,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_22_100.jpg,2
265,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_23_100.jpg,2
266,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_24_100.jpg,2
267,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_25_100.jpg,2
268,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_26_100.jpg,2
269,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_27_100.jpg,2
270,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_28_100.jpg,2
271,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_29_100.jpg,2
272,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_30_100.jpg,2
273,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_31_100.jpg,2
274,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_32_100.jpg,2
275,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_33_100.jpg,2
276,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_34_100.jpg,2
277,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_35_100.jpg,2
278,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_36_100.jpg,2
279,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_37_100.jpg,2
280,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Crimson Snow/r_38_100.jpg,2
